province,category,quarter,contract_count,median_value,mean_value,total_value,std_value,reliability_tier,opportunity_score,pct_of_national_spend,value_rank,quarter_label,gauteng_flag,median_value_fmt,total_value_fmt
Northern Cape,Services,2,6,29805940.0,139871606.5,839229639.0,265274664.2576838,Reliable,10.8424,0.027,118,Q2 (Apr-Jun),0,R29.81M,R839.23M
Mpumalanga,Works,4,9,59318380.0,284055303.5555556,2556497732.0,536168544.334511,Reliable,10.2021,0.082,119,Q4 (Oct-Dec),0,R59.32M,R2.56B
National,Works,2,6,10498219.5,32354873758.166668,194129242549.0,79221780593.57751,Reliable,10.185,6.192,120,Q2 (Apr-Jun),0,R10.50M,R194.13B
Northern Cape,Services,3,8,1173000.0,48215538.375,385724307.0,87762350.78824686,Reliable,10.0621,0.012,121,Q3 (Jul-Sep),0,R1.17M,R385.72M
North West,Services,4,8,34752458.5,794037828.75,6352302630.0,2159113371.4917917,Reliable,9.8973,0.203,122,Q4 (Oct-Dec),0,R34.75M,R6.35B
Northern Cape,Works,2,7,5029751.0,7011119126.142858,49077833883.0,12184565442.349348,Reliable,9.7215,1.566,123,Q2 (Apr-Jun),0,R5.03M,R49.08B
North West,Unknown,1,5,174470568.0,516347799.8,2581738999.0,658600723.8364699,Reliable,9.6784,0.082,124,Q1 (Jan-Mar),0,R174.47M,R2.58B
Northern Cape,Goods,2,5,2999950.0,12827712.8,64138564.0,13980001.212893534,Reliable,9.3959,0.002,125,Q2 (Apr-Jun),0,R3.00M,R64.14M
North West,Services,1,5,82268780.0,171978987.6,859894938.0,229052088.16659257,Reliable,9.295,0.027,126,Q1 (Jan-Mar),0,R82.27M,R859.89M
Northern Cape,Unknown,2,5,2320000.0,21977162.2,109885811.0,43177544.10733517,Reliable,9.234,0.004,127,Q2 (Apr-Jun),0,R2.32M,R109.89M
North West,Works,1,9,57387000.0,83417498.0,750757482.0,98487134.90510806,Reliable,9.1113,0.024,128,Q1 (Jan-Mar),0,R57.39M,R750.76M
North West,Unknown,4,7,7000000.0,13053899.57142857,91377297.0,15318378.783675987,Reliable,8.984,0.003,129,Q4 (Oct-Dec),0,R7.00M,R91.38M
