id,name,main_ocid,main_id,tender_id
9288,Several service Providers,ocds-9t57fa-32258,ocds-9t57fa-32258-2022-09-06T00:00:00Z,32258
4836,1.	Brilliantel Telecommunications 2.	EOH Mthombo  3.	Nambiti Technologies 4.	Sizwe Africa IT Group 5.	Alteram Solutions 6.	Gijima Holdings 7.	Jicho Consulting 8.	Baraka Enterprise Consulting 9.	Tipp Focus Holdings,ocds-9t57fa-32962,ocds-9t57fa-32962-2022-09-13T00:00:00Z,32962
12907,Hambo Lwethu,ocds-9t57fa-33025,ocds-9t57fa-33025-2022-09-13T00:00:00Z,33025
1998,Top Plan Projects,ocds-9t57fa-3371,ocds-9t57fa-3371-2021-07-06T00:00:00Z,3371
6195,Conekt (PTY) LTD,ocds-9t57fa-35573,ocds-9t57fa-35573-2022-10-04T00:00:00Z,35573
3492,CT LAB(Pty) Ltd,ocds-9t57fa-3568,ocds-9t57fa-3568-2021-07-09T00:00:00Z,3568
8887,CBS CAFE ,ocds-9t57fa-36209,ocds-9t57fa-36209-2022-10-10T00:00:00Z,36209
5965,"1. KTO Digital, 2. Waymark Infotech, 3. Globant South Africa,  4.Nated Systems (Pty) Ltd",ocds-9t57fa-36265,ocds-9t57fa-36265-2022-10-11T00:00:00Z,36265
5966,1. RAIN CHARTERED ACCOUNTANTS 2.NGUBANE  3.THABI CONSULTING 4. CHAPU CHARTERED ACCOUNTANTS INC 5. LUNIKA CHARTERED ACCOUNTANTS 6. TIC & MEND 7. SAMBA SOLUTIONS 8. FUTSHANE CONSULTING 9. BONAKUDE  10. GRIPP ADVISORY,ocds-9t57fa-36272,ocds-9t57fa-36272-2022-10-11T00:00:00Z,36272
6958,LifeAssist (Pty) Ltd,ocds-9t57fa-38639,ocds-9t57fa-38639-2022-11-01T00:00:00Z,38639
6026,Printing Equipment,ocds-9t57fa-39741,ocds-9t57fa-39741-2022-05-24T00:00:00Z,39741
9282,Ref - R20m,ocds-9t57fa-41549,ocds-9t57fa-41549-2022-11-22T00:00:00Z,41549
7621,"Mnyanda Business Enterprise R 6 325 399,05",ocds-9t57fa-42184,ocds-9t57fa-42184-2022-11-29T00:00:00Z,42184
9126,Poongavanum General Cleaning Services ,ocds-9t57fa-44892,ocds-9t57fa-44892-2023-01-17T00:00:00Z,44892
11335,Massamatic (Pty) Ltd,ocds-9t57fa-49187,ocds-9t57fa-49187-2023-03-17T00:00:00Z,49187
9095,1.	Forms Media Independent Africa (Pty) Ltd ,ocds-9t57fa-49436,ocds-9t57fa-49436-2023-03-17T00:00:00Z,49436
12831,Masegare & Associates,ocds-9t57fa-49702,ocds-9t57fa-49702-2023-03-20T00:00:00Z,49702
8928,Raising of perimeter fence,ocds-9t57fa-52130,ocds-9t57fa-52130-2022-09-20T00:00:00Z,52130
8942,Paving and re-surfacing of the courtyard,ocds-9t57fa-52285,ocds-9t57fa-52285-2022-12-21T00:00:00Z,52285
9020,Replacing of old floor tiles,ocds-9t57fa-52300,ocds-9t57fa-52300-2022-08-16T00:00:00Z,52300
11002,RODECON ENGINEERING ,ocds-9t57fa-53653,ocds-9t57fa-53653-2023-05-08T00:00:00Z,53653
10267,MAAA1341705,ocds-9t57fa-53742,ocds-9t57fa-53742-2023-05-09T00:00:00Z,53742
16901,Duvha Foundries (PTY) LTD ,ocds-9t57fa-53777,ocds-9t57fa-53777-2023-05-09T00:00:00Z,53777
9496,Bambana Management Services (Pty) Ltd,ocds-9t57fa-55108,ocds-9t57fa-55108-2023-05-23T00:00:00Z,55108
12361,1Balushi Chartered Accounts and Auditors Inc.,ocds-9t57fa-56571,ocds-9t57fa-56571-2023-06-06T00:00:00Z,56571
10158,Naledzi Technologies ,ocds-9t57fa-56677,ocds-9t57fa-56677-2023-06-06T00:00:00Z,56677
9594,Nomi Projects,ocds-9t57fa-57172,ocds-9t57fa-57172-2023-02-27T00:00:00Z,57172
915,Sonhar Projects cc t/a Ocean Engineering,ocds-9t57fa-5892,ocds-9t57fa-5892-2021-08-31T00:00:00Z,5892
18807,1. Khomanani X-ray and NDT Systems cc  2. Maduna Protection Services Pty Ltd  3. Xscann Technologies Pty Ltd  4. Letlamabo Projects and Investm  5. Hissco Pty Ltd  6. Sindiso Security Services  7. HAB Fire and Security Pty Ltd  8. Ingwe Emabala Enterprise  9. Forefront Security Solutions ,ocds-9t57fa-61164,ocds-9t57fa-61164-2023-07-24T00:00:00Z,61164
16802,Regenesys Management (Pty) Ltd,ocds-9t57fa-61310,ocds-9t57fa-61310-2023-07-25T00:00:00Z,61310
12892,ABSA / TYSYS Advisory Pty Ltd,ocds-9t57fa-63517,ocds-9t57fa-63517-2023-08-15T00:00:00Z,63517
1498,John Raymond Beneke ,ocds-9t57fa-6355,ocds-9t57fa-6355-2021-09-07T00:00:00Z,6355
15394,Lerumo Mashaba Technologies (Pty) Ltd,ocds-9t57fa-66916,ocds-9t57fa-66916-2023-09-12T00:00:00Z,66916
12664,MAAA0385420,ocds-9t57fa-67319,ocds-9t57fa-67319-2023-08-15T00:00:00Z,67319
