id,title,description,status,value_amount,value_currency,main_ocid,main_id
51418,SAMTAK CONSULTING SERVICES,EME,active,11000000.0,ZAR,ocds-9t57fa-111105,ocds-9t57fa-111105-2024-12-13T00:00:00Z
51432,KHULANATHI CONSULTING ENGINEERS,GEN,active,11000000.0,ZAR,ocds-9t57fa-111105,ocds-9t57fa-111105-2024-12-13T00:00:00Z
57290,AARDVARK ENTERPRISES,EME,active,0.0,ZAR,ocds-9t57fa-111210,ocds-9t57fa-111210-2024-12-17T00:00:00Z
47725,IMPOLO TRADING SOLUTIONS,EME,active,1370010960.0,ZAR,ocds-9t57fa-111476,ocds-9t57fa-111476-2025-01-14T00:00:00Z
49073,WASTE CARRIERS,EME,active,209971200.0,ZAR,ocds-9t57fa-111480,ocds-9t57fa-111480-2025-01-14T00:00:00Z
42015, (ALUTE SA),EME,active,82800.0,ZAR,ocds-9t57fa-111585,ocds-9t57fa-111585-2025-01-14T00:00:00Z
43699, CHAVANI RISK ADVISORY AND FORENSIC SERVICES,EME,active,14237040.0,ZAR,ocds-9t57fa-111604,ocds-9t57fa-111604-2025-01-14T00:00:00Z
58705,DRIZIT SPILL TECHNOLOGIES,EME,active,34588160.0,ZAR,ocds-9t57fa-111633,ocds-9t57fa-111633-2025-01-14T00:00:00Z
45450, ITSTYM GENERAL TRADING,EME,active,5318650.0,ZAR,ocds-9t57fa-112024,ocds-9t57fa-112024-2025-01-20T00:00:00Z
54582,PALMAN DISTRIBUTION,GEN,active,684343265.0,ZAR,ocds-9t57fa-112048,ocds-9t57fa-112048-2025-01-20T00:00:00Z
51752,TECHSEEDS TELECOMMUNICATIONS,EME,active,384741232.0,ZAR,ocds-9t57fa-112196,ocds-9t57fa-112196-2025-01-21T00:00:00Z
51647,ANGNA VALO ENGINEERING,EME,active,175085650.0,ZAR,ocds-9t57fa-112259,ocds-9t57fa-112259-2025-01-21T00:00:00Z
51653,THANDOLAKWABUNGELA TRADING AND PROJECTS,EME,active,175085650.0,ZAR,ocds-9t57fa-112259,ocds-9t57fa-112259-2025-01-21T00:00:00Z
51462,HEED SA,GEN,active,30000033.0,ZAR,ocds-9t57fa-112263,ocds-9t57fa-112263-2025-01-21T00:00:00Z
51461,KASABIAN PROJECTS,EME,active,33000033.0,ZAR,ocds-9t57fa-112272,ocds-9t57fa-112272-2025-01-21T00:00:00Z
51791,INCUBER TRADING ENTERPRISE,EME,active,10.0,ZAR,ocds-9t57fa-112447,ocds-9t57fa-112447-2025-01-27T00:00:00Z
48472,ADVANCED AFRICAN TECHNOLOGY,QSE,active,29975767.0,ZAR,ocds-9t57fa-112774,ocds-9t57fa-112774-2025-01-27T00:00:00Z
46566, ABERDARE CABLES,GEN,active,16366620.0,ZAR,ocds-9t57fa-112792,ocds-9t57fa-112792-2025-01-27T00:00:00Z
47803,DWR DISTRIBUTION,GEN,active,307000999.0,ZAR,ocds-9t57fa-112805,ocds-9t57fa-112805-2025-01-27T00:00:00Z
44904, OTIS,GEN,active,78243039.0,ZAR,ocds-9t57fa-112852,ocds-9t57fa-112852-2025-01-27T00:00:00Z
45834, FINWARE ENTERPRISE SYSTEMS,EME,active,2898000.0,ZAR,ocds-9t57fa-112980,ocds-9t57fa-112980-2025-01-28T00:00:00Z
56966,KOOR DINDAR MOTHEI GAUTENG,GEN,active,664462489.0,ZAR,ocds-9t57fa-113563,ocds-9t57fa-113563-2025-02-03T00:00:00Z
53070,KWIKSPACE MODULAR BUILDINGS,EME,active,6162020.0,ZAR,ocds-9t57fa-113639,ocds-9t57fa-113639-2025-02-04T00:00:00Z
50521,LABMED TECHNOLOGIES,EME,active,136949130.0,ZAR,ocds-9t57fa-113686,ocds-9t57fa-113686-2025-02-04T00:00:00Z
50796,VIVID AIR,EME,active,3072800.0,ZAR,ocds-9t57fa-113686,ocds-9t57fa-113686-2025-02-04T00:00:00Z
44877,LINCO SECURITY AND PROJECTS,EME,active,0.0,ZAR,ocds-9t57fa-114195,ocds-9t57fa-114195-2025-02-10T00:00:00Z
45992, AFRIQUENCO,EME,active,1186800.0,ZAR,ocds-9t57fa-114201,ocds-9t57fa-114201-2025-02-10T00:00:00Z
52659,DOREMA TRAVEL,EME,active,9800000.0,ZAR,ocds-9t57fa-114241,ocds-9t57fa-114241-2025-02-10T00:00:00Z
52667,RURAL CHIC ARTS AND EVENTS,EME,active,100.0,ZAR,ocds-9t57fa-114241,ocds-9t57fa-114241-2025-02-10T00:00:00Z
60361,IRCA GLOBAL,QSE,active,6680350.0,ZAR,ocds-9t57fa-114274,ocds-9t57fa-114274-2025-02-11T00:00:00Z
54500,ERDMAN TRADING AND PROJECTS,EME,active,10.0,ZAR,ocds-9t57fa-114300,ocds-9t57fa-114300-2025-02-10T00:00:00Z
61532,247 KHOMPHO TRADING LOGISTICS,GEN,active,100.0,ZAR,ocds-9t57fa-114387,ocds-9t57fa-114387-2025-02-11T00:00:00Z
48289,TERSUS GNSS SOUTH AFRICA,QSE,active,112311415.0,ZAR,ocds-9t57fa-114945,ocds-9t57fa-114945-2025-02-17T00:00:00Z
51781,NATASHA WATERSON,EME,active,220000.0,ZAR,ocds-9t57fa-114960,ocds-9t57fa-114960-2025-02-17T00:00:00Z
51944,PREDUSE PROJECTS,EME,active,35000000.0,ZAR,ocds-9t57fa-114973,ocds-9t57fa-114973-2025-02-17T00:00:00Z
54199,TIMES TEN TRADING ENTERPRISE,EME,active,10.0,ZAR,ocds-9t57fa-114976,ocds-9t57fa-114976-2025-02-17T00:00:00Z
52030,MEDIA MIX 360,QSE,active,723420064.0,ZAR,ocds-9t57fa-115002,ocds-9t57fa-115002-2025-02-17T00:00:00Z
45985, KUFANIKIWA CONSULTING,EME,active,17300174224.0,ZAR,ocds-9t57fa-115009,ocds-9t57fa-115009-2025-02-17T00:00:00Z
48253,MEHLOTI TRADING ENTERPRISE,EME,active,46137054.0,ZAR,ocds-9t57fa-115016,ocds-9t57fa-115016-2025-02-17T00:00:00Z
45792, VAHLENGWE VANWANATI HOLDING,EME,active,2014800.0,ZAR,ocds-9t57fa-115054,ocds-9t57fa-115054-2025-02-18T00:00:00Z
61805,GLS CONSULTING,GEN,active,385997730.0,ZAR,ocds-9t57fa-115064,ocds-9t57fa-115064-2025-02-18T00:00:00Z
45440, ODYSSEY MEDIA AND MARKETING,EME,active,713724868.0,ZAR,ocds-9t57fa-115083,ocds-9t57fa-115083-2025-02-18T00:00:00Z
54136,K AND L DESIGNS AND CONSTRUCTION,EME,active,12069187.0,ZAR,ocds-9t57fa-115095,ocds-9t57fa-115095-2025-02-18T00:00:00Z
61085,OPTIMI WORKPLACE,GEN,active,1351394915.0,ZAR,ocds-9t57fa-115124,ocds-9t57fa-115124-2025-02-18T00:00:00Z
64789,AS YOU TRADING ENTERPRISE,QSE,active,0.0,ZAR,ocds-9t57fa-115612,ocds-9t57fa-115612-2025-02-24T00:00:00Z
47172, RAINBOW SHEETING,EME,active,11483900.0,ZAR,ocds-9t57fa-115641,ocds-9t57fa-115641-2025-02-24T00:00:00Z
56731,MUSENGA INVESTMENTS,EME,active,810653428.0,ZAR,ocds-9t57fa-115649,ocds-9t57fa-115649-2025-02-24T00:00:00Z
55423,AMANDLA ETHU GROUP,EME,active,68612060.0,ZAR,ocds-9t57fa-115664,ocds-9t57fa-115664-2025-02-24T00:00:00Z
